Loan Number,Tell Us About You,Has SSN,US Citizen,Enrollment Status,STEM,Credit Score 1,Credit Score 2,GPA,Approved Loan Amount,Interest Rate,Test Loan,Early Risk Score
35,,Yes,FALSE,2nd Year Graduate,No,630,0,3.74,15500,11.99,0,0
40,,Yes,TRUE,4th Year Undergraduate,No,536,,3.2,10000,9.99,0,#N/A
43,,Yes,FALSE,2nd Year Graduate,No,644,,3.86,10446,11.99,0,0
63,,Yes,FALSE,4th Year Undergraduate,No,688,,3.2,15000,13.99,0,0
65,,No,FALSE,1st Year Graduate,No,,,0,7000,11.99,0,0.5
66,,No,TRUE,3rd Year Undergraduate,No,641,,3,15000,9.99,0,0
67,,No,FALSE,2nd Year Graduate,No,656,,3.33,15000,11.99,0,0
69,,Yes,FALSE,2nd Year Graduate,No,,757,3.3,8000,11.99,0,0
70,,Yes,FALSE,1st Year Graduate,No,644,,3.88,20000,11.99,0,0
71,,Yes,FALSE,3rd Year Graduate,No,670,,3.52,25000,11.99,0,0
74,,Yes,FALSE,2nd Year Graduate,No,682,,3.23,23000,11.99,0,0
83,,Yes,FALSE,2nd Year Graduate,No,614,,3.33,6000,11.99,0,1.4
86,,Yes,FALSE,2nd Year Graduate,No,,,3.23,25000,11.99,0,0
87,,No,FALSE,3rd Year Undergraduate,No,,,3.3,22500,13.99,0,2.9
88,,No,FALSE,1st Year Graduate,No,,757,0,25000,11.99,0,1.7
89,,No,FALSE,Beyond 3rd Year Graduate,No,,,0,25000,11.99,0,0.5
90,,Yes,FALSE,1st Year Graduate,No,742,,0,3300,11.99,0,0
92,,Yes,FALSE,2nd Year Graduate,No,717,,3.95,18000,11.99,0,0
93,,Yes,FALSE,4th Year Undergraduate,No,632,,3.86,12000,13.99,0,2.4
94,,Yes,FALSE,1st Year Graduate,No,,,3.9,25000,11.99,0,0
99,,Yes,FALSE,2nd Year Graduate,No,,,3.34,17500,11.99,0,#N/A
100,,No,FALSE,1st Year Graduate,No,729,0,0,25000,11.99,0,0
103,,Yes,FALSE,2nd Year Graduate,No,685,786,3.95,14500,11.99,0,0
108,,Yes,FALSE,Beyond 3rd Year Graduate,,721,,4,13000,11.99,0,0.5
109,,Yes,FALSE,2nd Year Graduate,No,670,,3.63,16000,11.99,0,0
111,,Yes,FALSE,1st Year Graduate,No,,,3,12000,11.99,0,0
112,,Yes,FALSE,1st Year Graduate,No,655,,0,5197,11.99,0,0.1
113,,Yes,FALSE,4th Year Undergraduate,No,727,,3.25,7500,13.99,0,#N/A
116,,Yes,FALSE,1st Year Graduate,No,,,0,20000,11.99,0,0
117,,Yes,FALSE,1st Year Graduate,No,,743,0,19500,11.99,0,1.3
118,,Yes,FALSE,Beyond 3rd Year Graduate,No,617,,0,10527,11.99,0,0.1
119,,Yes,FALSE,2nd Year Graduate,No,678,,2.68,15000,11.99,0,0.8
120,,Yes,FALSE,1st Year Graduate,No,,,3.8,25000,11.99,0,0
121,,No,FALSE,1st Year Graduate,No,617,0,3.56,4000,11.99,0,0
122,,Yes,TRUE,4th Year Undergraduate,No,677,,3.2,10205,9.99,0,0
123,,Yes,FALSE,2nd Year Graduate,No,631,,3.2,19000,11.99,0,1.1
125,,Yes,FALSE,1st Year Graduate,No,,,0,10000,11.99,0,0
134,,Yes,FALSE,1st Year Graduate,No,753,,3.47,25000,11.99,0,0
137,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0
138,,Yes,FALSE,5th Year Undergraduate,No,763,,3.31,12000,13.99,0,0
140,,Yes,FALSE,2nd Year Graduate,No,649,,3.75,10000,11.99,0,2.3
141,,Yes,FALSE,Beyond 3rd Year Graduate,No,,,0,5000,11.99,0,1.2
144,,No,FALSE,1st Year Graduate,No,,,2.97,20500,11.99,0,3.1
145,,Yes,FALSE,3rd Year Graduate,No,712,,3.49,15000,11.99,0,0.5
146,,Yes,FALSE,1st Year Graduate,No,719,632,3.35,25000,11.99,0,0
147,,Yes,FALSE,1st Year Graduate,No,,,3.12,15000,11.99,0,0
148,,No,FALSE,1st Year Graduate,No,636,,0,20000,11.99,0,0
149,,No,FALSE,1st Year Graduate,No,,500,2.5,25000,11.99,0,5
150,,Yes,FALSE,2nd Year Graduate,No,655,,4,10000,11.99,0,0.5
151,,No,FALSE,1st Year Graduate,No,,,0,2500,11.99,0,2.3
152,,No,FALSE,1st Year Graduate,No,,,3.77,10000,11.99,0,#N/A
153,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,1
154,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,#N/A
155,,Yes,FALSE,2nd Year Graduate,No,,,3.8,24000,11.99,0,0
156,,Yes,FALSE,1st Year Graduate,No,767,,3.7,25000,11.99,0,#N/A
157,,Yes,FALSE,1st Year Graduate,No,,,3.83,20000,11.99,0,0.5
158,,Yes,FALSE,4th Year Undergraduate,No,625,,3,10500,13.99,0,0.5
159,,No,FALSE,1st Year Graduate,No,,,0,15000,11.99,0,0
160,,Yes,FALSE,2nd Year Graduate,No,,764,3.86,5000,11.99,0,0
161,,Yes,FALSE,1st Year Graduate,No,654,,3.17,25000,11.99,0,2.3
162,,Yes,FALSE,5th Year Undergraduate,No,613,,3.2,13300,13.99,0,0.2
164,,Yes,FALSE,3rd Year Undergraduate,No,,,3.76,25000,13.99,0,0
166,,Yes,FALSE,Beyond 3rd Year Graduate,No,,,0,5000,11.99,0,3.1
172,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0
180,,No,FALSE,1st Year Graduate,No,,,4,25000,11.99,0,0
183,,Yes,FALSE,4th Year Undergraduate,No,775,,3.97,17000,13.99,0,0
184,,Yes,FALSE,1st Year Graduate,No,,,0,15000,11.99,0,0
185,,No,FALSE,2nd Year Graduate,No,,,0,25000,11.99,0,0
187,,Yes,FALSE,2nd Year Graduate,No,,,3.87,15000,11.99,0,0
189,,Yes,FALSE,1st Year Graduate,No,,,3.45,10000,11.99,0,0
190,,Yes,FALSE,1st Year Graduate,No,668,0,3.2,13000,11.99,0,0
191,,Yes,FALSE,2nd Year Graduate,No,627,,3.78,5490,11.99,0,2.4
192,,No,FALSE,1st Year Graduate,No,,,3.7,20000,11.99,0,0
194,,No,FALSE,1st Year Graduate,No,,,0,16500,11.99,0,2.6
196,,Yes,FALSE,1st Year Graduate,No,677,,0,17000,11.99,0,0
197,,Yes,FALSE,2nd Year Graduate,No,,0,3.87,11100,11.99,0,0
199,,Yes,FALSE,2nd Year Graduate,No,738,,4,14500,11.99,0,0
200,,Yes,FALSE,1st Year Graduate,No,728,,4,25000,11.99,0,0
201,,Yes,FALSE,2nd Year Graduate,No,703,,0,5000,11.99,0,0
202,,Yes,FALSE,4th Year Undergraduate,No,708,,3.93,25000,13.99,0,0
203,,Yes,FALSE,4th Year Undergraduate,No,,,3.52,12000,13.99,0,0
204,,Yes,FALSE,1st Year Graduate,No,,,0,20000,11.99,0,0.2
205,,No,FALSE,1st Year Graduate,No,,,0,12500,11.99,0,2.4
206,,Yes,FALSE,2nd Year Graduate,No,646,,3.55,8000,11.99,0,0.6
207,,Yes,FALSE,1st Year Graduate,No,,,3.33,20000,11.99,0,0
208,,Yes,FALSE,3rd Year Undergraduate,No,631,,0,10000,13.99,0,1
209,,Yes,FALSE,2nd Year Graduate,No,646,,3.73,3000,11.99,0,0
211,,No,FALSE,2nd Year Graduate,No,609,647,3.6,8000,11.99,0,0.2
212,,Yes,FALSE,1st Year Graduate,No,,,3.15,14000,11.99,0,0
214,,Yes,FALSE,2nd Year Graduate,No,631,,3.6,17500,11.99,0,1
216,,Yes,FALSE,1st Year Graduate,No,,,3.7,10000,11.99,0,3.8
222,,Yes,FALSE,1st Year Graduate,No,726,,4,22000,11.99,0,0
223,,No,FALSE,2nd Year Graduate,No,627,,3.37,25000,11.99,0,3.4
224,,Yes,FALSE,1st Year Graduate,No,,0,4,20000,11.99,0,0
225,,No,FALSE,1st Year Graduate,No,,,0,16000,11.99,0,2.9
226,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0.9
227,,Yes,FALSE,1st Year Graduate,No,640,513,3.3,15000,11.99,0,0
228,,No,TRUE,Beyond 3rd Year Graduate,No,597,,3.54,11784,11.99,0,0
229,,Yes,FALSE,2nd Year Graduate,No,,0,3.87,10000,11.99,0,0.2
230,,Yes,FALSE,3rd Year Undergraduate,No,694,0,3.76,22000,13.99,0,0
231,,No,FALSE,Beyond 3rd Year Graduate,No,,,0,10000,11.99,0,0.6
233,,Yes,FALSE,5th Year Undergraduate,No,651,0,3.17,10000,13.99,0,0
234,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,5
236,,No,FALSE,2nd Year Graduate,No,765,,3.78,8904,11.99,0,#N/A
237,,Yes,FALSE,2nd Year Graduate,No,619,,0,19000,11.99,0,0
243,,Yes,FALSE,4th Year Undergraduate,No,,,3.38,8000,13.99,0,0
244,,Yes,FALSE,2nd Year Graduate,No,676,,3.81,4000,11.99,0,0
245,,Yes,FALSE,1st Year Graduate,No,636,745,0,25000,11.99,0,0.7
246,,Yes,FALSE,1st Year Graduate,No,,,0,20000,11.99,0,0
247,,No,FALSE,2nd Year Graduate,No,,,3.77,25000,11.99,0,0
248,,Yes,FALSE,1st Year Graduate,No,,,3.39,15000,11.99,0,0
249,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,2.4
250,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0.8
251,,Yes,FALSE,Beyond 3rd Year Graduate,No,667,,3.63,10000,11.99,0,0
252,,Yes,FALSE,2nd Year Graduate,No,761,,3.8,5000,11.99,0,0
253,,No,FALSE,1st Year Graduate,No,,,3,10000,11.99,0,0
254,,Yes,FALSE,2nd Year Graduate,No,,557,3.08,6232,11.99,0,0.2
257,,No,FALSE,3rd Year Undergraduate,No,,,3.32,25000,13.99,0,1.1
258,,Yes,FALSE,1st Year Graduate,No,,,0,10000,11.99,0,0
259,,Yes,FALSE,2nd Year Graduate,No,,0,3.11,8000,11.99,0,0.8
260,,Yes,FALSE,4th Year Undergraduate,No,597,,3.45,16500,13.99,0,3.7
262,,Yes,FALSE,2nd Year Graduate,No,641,,3.8,2200,11.99,0,2.7
263,,Yes,FALSE,3rd Year Graduate,No,717,,3.44,15000,11.99,0,0
264,,Yes,FALSE,2nd Year Graduate,No,709,,3.2,25000,11.99,0,1.1
266,,No,FALSE,1st Year Graduate,No,,612,0,25000,11.99,0,0
267,,No,FALSE,3rd Year Undergraduate,No,,,0,25000,13.99,0,2.6
268,,Yes,FALSE,1st Year Graduate,No,,,3,3500,11.99,0,0
269,,Yes,FALSE,1st Year Graduate,No,771,,3.75,25000,11.99,0,0
270,,Yes,FALSE,2nd Year Graduate,No,618,628,3.88,5000,11.99,0,0
271,,Yes,FALSE,2nd Year Graduate,No,,,2.74,13000,11.99,0,0.3
272,,Yes,FALSE,3rd Year Undergraduate,No,,0,3.3,22500,13.99,0,#N/A
273,,Yes,FALSE,2nd Year Graduate,No,641,,3.71,25000,11.99,0,0
274,,No,FALSE,3rd Year Graduate,No,,,0,25000,11.99,0,0.9
275,,Yes,FALSE,2nd Year Graduate,No,,,3.68,2500,11.99,0,#N/A
278,,Yes,FALSE,1st Year Graduate,No,711,,3.83,10000,11.99,0,0
280,,No,FALSE,1st Year Graduate,No,,,0,10000,11.99,0,0
281,,Yes,FALSE,1st Year Graduate,No,729,,0,17000,11.99,0,3.2
283,,No,FALSE,1st Year Graduate,No,,513,3.46,25000,11.99,0,2.1
285,,No,FALSE,2nd Year Graduate,No,586,,3.5,20000,11.99,0,0
286,,No,FALSE,1st Year Graduate,No,,,0,20000,11.99,0,0
287,,Yes,FALSE,1st Year Graduate,No,,,3.66,10000,11.99,0,0
288,,Yes,FALSE,1st Year Graduate,No,,,3.9,10400,11.99,0,0
289,,No,FALSE,1st Year Graduate,No,686,,0,8000,11.99,0,0
290,,No,FALSE,1st Year Graduate,No,,,3.22,18000,11.99,0,0.6
291,,Yes,FALSE,1st Year Graduate,No,,,4,25000,11.99,0,0
292,,No,FALSE,1st Year Graduate,No,662,,3.2,5000,11.99,0,0
293,,No,FALSE,1st Year Graduate,No,,,3.67,25000,11.99,0,0
294,,Yes,FALSE,1st Year Graduate,No,652,,4,25000,11.99,0,0.6
295,,Yes,FALSE,1st Year Graduate,No,,0,3.78,20000,11.99,0,0
296,,Yes,FALSE,1st Year Graduate,No,739,,0,25000,11.99,0,0
297,,No,FALSE,3rd Year Undergraduate,No,,,3.57,10000,13.99,0,1.3
298,,Yes,FALSE,2nd Year Graduate,No,,0,3.8,13000,11.99,0,0
300,,Yes,TRUE,1st Year Graduate,No,668,,0,25000,7.99,0,0.9
301,,No,FALSE,1st Year Graduate,No,,634,3.92,14000,11.99,0,0.2
302,,No,FALSE,2nd Year Graduate,No,,,3.03,25000,11.99,0,0
303,,Yes,TRUE,4th Year Undergraduate,No,681,,3.6,3710,9.99,0,5
304,,Yes,FALSE,1st Year Graduate,No,796,0,0,25000,11.99,0,0
305,,No,FALSE,1st Year Graduate,No,,0,0,25000,11.99,0,2.8
306,,No,FALSE,1st Year Graduate,No,,,3.22,23000,11.99,0,0
307,,No,FALSE,Beyond 3rd Year Graduate,No,,,0,8000,11.99,0,0
308,,No,FALSE,1st Year Graduate,No,658,,0,20000,11.99,0,0
309,,No,FALSE,2nd Year Graduate,No,628,,3.75,25000,11.99,0,0
310,,No,FALSE,1st Year Graduate,No,731,655,3.8,12000,11.99,0,0.4
311,,No,FALSE,1st Year Graduate,No,,,3.59,25000,11.99,0,1
312,,Yes,FALSE,3rd Year Graduate,No,604,,0,10000,11.99,0,0
313,,No,FALSE,1st Year Graduate,No,,,4,25000,11.99,0,0
314,,Yes,FALSE,3rd Year Undergraduate,No,748,,3.03,9000,13.99,0,0
315,,No,FALSE,1st Year Graduate,No,,,3.25,9500,11.99,0,0
316,,Yes,FALSE,1st Year Graduate,No,,0,0,10000,11.99,0,0
317,,Yes,FALSE,2nd Year Graduate,No,720,688,3.44,4825,11.99,0,0
319,,No,FALSE,1st Year Graduate,No,,,0,15000,11.99,0,0
324,,Yes,FALSE,1st Year Graduate,No,739,,3.83,25000,11.99,0,1.4
325,,Yes,TRUE,4th Year Undergraduate,No,635,,2.98,3680,9.99,0,2.9
326,,No,FALSE,2nd Year Graduate,No,,,3.8,15000,11.99,0,0
327,,No,FALSE,1st Year Graduate,No,733,,3.79,15000,11.99,0,0
329,,Yes,FALSE,2nd Year Graduate,No,,,3.25,6000,11.99,0,2.6
330,,No,FALSE,Beyond 3rd Year Graduate,No,586,,3.5,5000,11.99,0,0
331,,Yes,FALSE,1st Year Graduate,No,,,3.6,6800,11.99,0,#N/A
332,,No,FALSE,2nd Year Graduate,No,681,,3.87,5000,11.99,0,0
334,,Yes,TRUE,3rd Year Undergraduate,No,688,,3.7,2100,9.99,0,0
335,,No,FALSE,1st Year Graduate,No,607,,4,7000,11.99,0,0
336,,Yes,FALSE,2nd Year Graduate,No,647,,3.8,9407,11.99,0,0
337,,Yes,FALSE,Beyond 3rd Year Graduate,No,760,0,3.7,25000,11.99,0,0
338,,Yes,FALSE,2nd Year Graduate,No,694,,3.97,10000,11.99,0,0
339,,Yes,FALSE,1st Year Graduate,No,613,,0,20000,11.99,0,0
340,,No,FALSE,2nd Year Graduate,No,650,,3.51,25000,11.99,0,0
342,,Yes,FALSE,1st Year Graduate,No,622,0,3.3,20000,11.99,0,0
343,,Yes,FALSE,1st Year Graduate,No,,727,3.2,25000,11.99,0,0
344,,Yes,FALSE,1st Year Graduate,No,,,3.91,14000,11.99,0,0
352,,Yes,FALSE,1st Year Graduate,No,,,3,15000,11.99,0,0
353,,No,TRUE,4th Year Undergraduate,No,680,,3.7,2733,9.99,0,0
358,,No,FALSE,1st Year Graduate,No,,,3.73,25000,11.99,0,0
359,,No,FALSE,2nd Year Graduate,No,,,0,12000,11.99,0,5
360,,No,FALSE,1st Year Graduate,No,,0,4,25000,11.99,0,0
361,,Yes,FALSE,1st Year Graduate,No,537,,0,25000,11.99,0,0
364,,No,FALSE,3rd Year Graduate,No,749,,3.18,20000,11.99,0,0
366,,Yes,FALSE,1st Year Graduate,No,,,3.5,15000,11.99,0,0
369,,Yes,FALSE,1st Year Graduate,No,714,792,4,25000,11.99,0,0
370,,Yes,FALSE,4th Year Undergraduate,No,,,3.65,6000,13.99,0,0.2
371,,Yes,FALSE,2nd Year Graduate,No,,,0,5000,11.99,0,0
372,,No,FALSE,Beyond 3rd Year Graduate,No,,,2.84,25000,11.99,0,0
373,,No,FALSE,2nd Year Graduate,No,589,613,3.5,15000,11.99,0,0.3
374,,No,FALSE,3rd Year Graduate,No,643,,3.6,25000,11.99,0,0
375,,No,FALSE,1st Year Graduate,No,633,,4,25000,11.99,0,1.3
376,,Yes,FALSE,Beyond 3rd Year Graduate,No,772,,3,15000,11.99,0,0
378,,Yes,FALSE,2nd Year Graduate,No,681,,3.8,5000,11.99,0,0
379,,Yes,FALSE,3rd Year Undergraduate,No,606,0,3.16,10000,13.99,0,0
380,,Yes,FALSE,1st Year Graduate,No,,,3,25000,11.99,0,0
381,,Yes,FALSE,1st Year Graduate,No,,,3.91,20000,11.99,0,0
383,,Yes,FALSE,4th Year Undergraduate,No,746,,3.08,20000,13.99,0,0.1
384,,Yes,FALSE,5th Year Undergraduate,No,654,0,3.32,22000,13.99,0,0
385,,Yes,FALSE,4th Year Undergraduate,No,645,0,3.21,5965,13.99,0,1.4
386,,No,FALSE,3rd Year Graduate,No,749,,0,12000,11.99,0,0
387,,Yes,TRUE,3rd Year Undergraduate,No,707,,3,13000,9.99,0,0.6
388,,No,FALSE,2nd Year Graduate,No,666,,3.23,15000,11.99,0,1.5
389,,Yes,FALSE,3rd Year Graduate,No,654,,3.58,17226,11.99,0,0
390,,Yes,FALSE,1st Year Graduate,No,,,3.37,12000,11.99,0,1
392,,No,FALSE,2nd Year Graduate,No,632,,0,5000,11.99,0,0.6
393,,Yes,FALSE,1st Year Graduate,No,,,3.1,7000,11.99,0,0
394,,Yes,TRUE,1st Year Undergraduate,No,734,,3.92,15000,9.99,0,4.6
395,,Yes,FALSE,1st Year Graduate,No,759,,3.33,15000,11.99,0,0
396,,Yes,FALSE,2nd Year Graduate,No,686,0,3.3,15000,11.99,0,1.5
397,,Yes,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0
398,,Yes,FALSE,2nd Year Graduate,No,661,722,0,7000,11.99,0,0
399,,No,FALSE,1st Year Graduate,No,,,3,5000,11.99,0,5
400,,Yes,FALSE,2nd Year Undergraduate,No,,0,3.87,25000,13.99,0,0
401,,Yes,FALSE,1st Year Graduate,No,736,,3.8,25000,11.99,0,0
402,,Yes,FALSE,1st Year Graduate,No,626,,3.62,5000,11.99,0,0
403,,No,FALSE,Beyond 3rd Year Graduate,No,637,,3,2200,11.99,0,4.4
405,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0
406,,Yes,FALSE,3rd Year Graduate,No,641,,3.59,7000,11.99,0,#N/A
407,,Yes,FALSE,1st Year Graduate,No,601,,3.84,25000,11.99,0,0.2
408,,No,FALSE,1st Year Graduate,No,,,2.9,25000,11.99,0,0
409,,Yes,FALSE,1st Year Graduate,No,,,3.19,23000,11.99,0,0
412,,Yes,TRUE,4th Year Undergraduate,No,708,,0,10500,9.99,0,2.3
414,,Yes,FALSE,2nd Year Graduate,No,614,,3.41,15322,11.99,0,0
415,,Yes,FALSE,1st Year Graduate,No,610,,3.89,7000,11.99,0,0
416,,No,FALSE,1st Year Graduate,No,727,0,3.5,25000,11.99,0,0
417,,Yes,TRUE,3rd Year Undergraduate,No,635,,2.7,6998,9.99,0,0
418,,Yes,FALSE,2nd Year Graduate,No,707,,2.08,25000,11.99,0,0
420,,Yes,FALSE,1st Year Graduate,No,656,0,4,22000,11.99,0,0
421,,Yes,FALSE,1st Year Graduate,No,,,3.62,20000,13.99,0,1.5
423,,No,FALSE,1st Year Graduate,No,733,,0,15000,11.99,0,5
425,,No,FALSE,2nd Year Undergraduate,No,,,0,22000,13.99,0,0.5
427,,No,FALSE,1st Year Graduate,No,,754,0,25000,11.99,0,0
428,,Yes,TRUE,5th Year Undergraduate,No,736,,2.77,4000,9.99,0,0
430,,Yes,FALSE,4th Year Undergraduate,No,,,3.64,3500,13.99,0,0.8
433,I am currently enrolled,Yes,FALSE,1st Year Graduate,No,610,,3.42,9050,11.99,0,0
435,,Yes,FALSE,3rd Year Undergraduate,No,639,,3.35,20000,13.99,0,0
436,,Yes,FALSE,2nd Year Graduate,No,628,755,2.91,8000,11.99,0,0
437,,No,FALSE,1st Year Graduate,No,,711,2.97,25000,11.99,0,#N/A
438,I have been accepted to study,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0
439,,Yes,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,#N/A
440,,No,FALSE,1st Year Graduate,No,,,0,15000,11.99,0,0
441,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,2.6
442,I am thinking about studying,Yes,FALSE,Beyond 3rd Year Graduate,No,657,,3.67,25000,11.99,0,0
447,,Yes,FALSE,4th Year Undergraduate,No,,,3.38,6000,13.99,0,0
448,I am currently enrolled,No,FALSE,3rd Year Undergraduate,Yes,673,,3.75,10000,13.99,0,0
449,,Yes,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0
450,I have been accepted to study,No,FALSE,2nd Year Graduate,No,,,3.1,25000,11.99,0,3
451,I am currently enrolled,Yes,FALSE,Beyond 3rd Year Graduate,No,679,,3.9,3000,11.99,0,0
452,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0
453,I am currently enrolled,No,FALSE,1st Year Graduate,No,677,,0,25000,11.99,0,#N/A
455,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0
459,,Yes,FALSE,4th Year Undergraduate,No,528,0,2.7,14000,13.99,0,0
461,,Yes,FALSE,2nd Year Graduate,No,656,0,0,8500,11.99,0,0
462,,No,FALSE,1st Year Graduate,No,,792,0,25000,11.99,0,1.4
463,,No,FALSE,1st Year Graduate,No,,,3.43,20000,11.99,0,0
464,I am thinking about studying,Yes,FALSE,1st Year Graduate,Yes,,,3.75,25000,11.99,0,0
465,,Yes,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0.6
466,,No,FALSE,3rd Year Graduate,No,,,0,25000,11.99,0,0.6
470,I have been accepted to study,Yes,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0
473,I have been accepted to study,No,FALSE,Beyond 3rd Year Graduate,Yes,,797,0,25000,11.99,0,0
474,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0
476,,Yes,FALSE,1st Year Graduate,No,,,3.04,25000,11.99,0,0
478,,Yes,FALSE,1st Year Graduate,No,,0,0,25000,11.99,0,0
479,I am currently enrolled,Yes,FALSE,3rd Year Graduate,,720,,0,6160,11.99,0,0
480,I have been accepted to study,No,FALSE,1st Year Graduate,No,,,0,15000,11.99,0,1.7
481,I have been accepted to study,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0
482,I am currently enrolled,Yes,FALSE,1st Year Graduate,No,691,746,3.55,8800,11.99,0,0
483,,Yes,FALSE,Beyond 3rd Year Graduate,No,747,0,4,25000,11.99,0,#N/A
484,,No,FALSE,1st Year Graduate,No,,,3.5,25000,11.99,0,4.2
485,I am currently enrolled,Yes,FALSE,2nd Year Graduate,No,720,0,0,25000,11.99,0,0
486,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0
487,I have been accepted to study,No,FALSE,1st Year Graduate,Yes,,0,0,25000,11.99,0,0
488,,Yes,FALSE,1st Year Graduate,No,,,3.5,9500,11.99,0,0
489,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0
490,I am currently enrolled,No,FALSE,1st Year Graduate,No,,,3,25000,11.99,0,0
491,I am currently enrolled,No,FALSE,1st Year Graduate,No,,,3,21500,11.99,0,0
492,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,#N/A
495,I am currently enrolled,No,FALSE,1st Year Graduate,No,,,3.96,25000,11.99,0,0
496,I am currently enrolled,Yes,FALSE,2nd Year Undergraduate,Yes,704,,3.35,4000,13.99,0,0.6
497,I have been accepted to study,No,FALSE,1st Year Graduate,Yes,,0,7.5,25000,11.99,0,0.4
498,,Yes,FALSE,1st Year Graduate,No,743,,3.93,25000,11.99,0,0.4
500,I have been accepted to study,No,FALSE,1st Year Graduate,No,,0,0,11000,11.99,0,0
501,I have been accepted to study,Yes,FALSE,1st Year Graduate,Yes,,,0,25000,11.99,0,#N/A
503,,Yes,FALSE,2nd Year Graduate,No,658,,3.62,25000,11.99,0,5
504,I have been accepted to study,No,FALSE,1st Year Graduate,No,,,0,18000,11.99,0,0
506,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0
508,,Yes,FALSE,2nd Year Graduate,No,688,,3.83,12500,11.99,0,2.8
512,,No,FALSE,1st Year Graduate,No,,,3.74,25000,11.99,0,0
514,I am currently enrolled,No,FALSE,1st Year Graduate,No,639,0,0,25000,11.99,0,0.9
515,,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,0
516,I am currently enrolled,Yes,FALSE,3rd Year Graduate,Yes,644,0,3.1,18000,11.99,0,0
517,,No,FALSE,1st Year Graduate,No,,,2.9,25000,11.99,0,1.2
518,I have been accepted to study,No,FALSE,1st Year Graduate,No,,,0,25000,11.99,0,1.2
521,,No,FALSE,1st Year Graduate,No,,0,0,25000,11.99,0,0
522,I have been accepted to study,No,FALSE,1st Year Graduate,No,,0,0,25000,11.99,0,0.2
523,I am currently enrolled,No,FALSE,2nd Year Graduate,No,,0,3.97,16000,11.99,0,0.2
524,I am currently enrolled,No,FALSE,2nd Year Graduate,,645,0,3.91,20000,11.99,0,1.5
525,I am currently enrolled,Yes,FALSE,1st Year Graduate,,751,0,0,25000,11.99,0,0
526,,Yes,FALSE,1st Year Graduate,,,,0,25000,11.99,0,0
528,,Yes,FALSE,1st Year Graduate,No,730,,0,23500,11.99,0,1.3
529,I have been accepted to study,No,FALSE,1st Year Graduate,No,,,0,20000,11.99,0,0.5
530,,No,FALSE,1st Year Graduate,No,,,3.5,25000,11.99,0,0
531,,No,FALSE,1st Year Graduate,No,,,3.5,25000,11.99,1,0
